epoch,train_loss,lr,seconds,iou,dice,f1,precision,recall,accuracy,pred_pos_ratio,tp,fp,fn,tn,mean_per_image_f1,mean_invalid_ratio
1,0.6157032372108822,0.0001,622.1262719631195,0.28630173913083606,0.44515486168414686,0.44515486168414686,0.3221950865337853,0.7198860113546144,0.7802210970489133,0.2736380177671096,27916929.0,58729113.0,10862723.0,219135986.0,0.30831467752964514,0.09588033995942441
2,0.5096709290626406,9.938441702975689e-05,566.581422328949,0.3349659953980901,0.5018344941967026,0.5018344941967026,0.3644214688171812,0.8056055789257726,0.8041167908069949,0.27073856657740714,31241104.0,54486842.0,7538548.0,223378257.0,0.33968304162398155,0.09588033995942441
3,0.4715015020264291,9.755282581475769e-05,517.6720836162567,0.34692812629066405,0.5151397711999013,0.5151397711999013,0.3743060904349263,0.8258789944788569,0.8095988775762147,0.2702222718986427,32027300.0,53537164.0,6752352.0,224327935.0,0.3374648662086142,0.09588033995942441
4,0.45718050705290386,9.45503262094184e-05,510.9366316795349,0.30001442089517366,0.4615555237582851,0.4615555237582851,0.3072539687981561,0.927182301687493,0.7350623317296044,0.36957215816914013,35955807.0,81067277.0,2823845.0,196797822.0,0.30647397727164394,0.09588033995942441
5,0.43449847233192673,9.045084971874738e-05,503.60744047164917,0.37846156206511844,0.5491071633816981,0.5491071633816981,0.4011073207260106,0.8701872827533366,0.8249788388249645,0.26569523017294544,33745560.0,50385440.0,5034092.0,227479659.0,0.3591074343227483,0.09588033995942441
6,0.4260032966133507,8.535533905932738e-05,503.88799571990967,0.4069438365903477,0.578479144060544,0.578479144060544,0.4975593313604083,0.6908314958576729,0.8766994277445009,0.17004304296836426,26790205.0,27053032.0,11989447.0,250812067.0,0.3727713745263277,0.09588033995942441
7,0.4079962953839494,7.938926261462366e-05,512.6726896762848,0.4297066929648284,0.6011116709533227,0.6011116709533227,0.4861070796690237,0.7873960808106271,0.8720173731855103,0.19837773025329575,30534946.0,32280321.0,8244706.0,245584778.0,0.38939736846619843,0.09588033995942441
8,0.40492906847476273,7.269952498697734e-05,506.15909123420715,0.44438418297768295,0.6153268426952709,0.6153268426952709,0.5243865963643792,0.7444269742286495,0.8860092204718087,0.17386098404012387,28868619.0,26183549.0,9911033.0,251681550.0,0.39188248571349077,0.09588033995942441
9,0.4075062598219548,6.545084971874738e-05,517.4331233501434,0.43845690345948696,0.6096211835693585,0.6096211835693585,0.5100959846434295,0.7573975908809082,0.8812012929909582,0.18184594823743028,29371615.0,28208950.0,9408037.0,249656149.0,0.3967858905691824,0.09588033995942441
10,0.40607645625955074,5.782172325201156e-05,523.1510512828827,0.4574097843257014,0.6277023603029755,0.6277023603029755,0.5413249369482409,0.7468794459527381,0.891495280147562,0.1689756354116857,28963725.0,24541523.0,9815927.0,253323576.0,0.3975507850882797,0.09588033995942441
11,0.39445472059064896,5.000000000000001e-05,495.2368724346161,0.4435239672124893,0.6145016971340409,0.6145016971340409,0.48662825452039643,0.8335327764158377,0.8719193074512706,0.2097765675578813,32324111.0,34100538.0,6455541.0,243764561.0,0.4031814988158544,0.09588033995942441
12,0.395616479603381,4.217827674798848e-05,498.2740545272827,0.4208699720542065,0.5924116592817311,0.5924116592817311,0.4461045177099478,0.881520468517871,0.8514433293100759,0.24200670233121913,34185057.0,42445095.0,4594595.0,235420004.0,0.39639869517551707,0.09588033995942441
13,0.3845234251656066,3.454915028125264e-05,532.5623950958252,0.4212813742972896,0.5928190979562974,0.5928190979562974,0.4463784592391276,0.8822551321502317,0.8515702317768723,0.2420597491603453,34213547.0,42433402.0,4566105.0,235431697.0,0.39114193900424843,0.09588033995942441
14,0.38659360234079687,2.730047501302267e-05,493.4946994781494,0.45316930130915273,0.6236978685347433,0.6236978685347433,0.49468596240864166,0.8437420738071604,0.8753093968072757,0.20888715442499156,32720024.0,33422997.0,6059628.0,244442102.0,0.4080607519844838,0.09588033995942441
15,0.38504280635937194,2.0610737385376356e-05,495.42811369895935,0.4377546032053904,0.6089420252568601,0.6089420252568601,0.46601154666582123,0.8783368917286827,0.8618382181866643,0.2308320247506645,34061599.0,39030150.0,4718053.0,238834949.0,0.4096611274354788,0.09588033995942441
16,0.3775468870312318,1.464466094067263e-05,495.6546702384949,0.46658598504256044,0.6362886136078529,0.6362886136078529,0.5149372770471893,0.8324706214485884,0.8834443682282925,0.19799134140707736,32282921.0,30409998.0,6496731.0,247455101.0,0.41484484954630585,0.09588033995942441
17,0.3979580631886406,9.549150281252635e-06,500.31691551208496,0.4622178697040535,0.6322147689087539,0.6322147689087539,0.5019726743240088,0.8537219209703066,0.8783512410095186,0.20828978466154963,33107039.0,32846828.0,5672613.0,245018271.0,0.4165637341428733,0.09588033995942441
18,0.36817969771466036,5.4496737905816115e-06,496.68004965782166,0.45527296854587307,0.6256873796615233,0.6256873796615233,0.48920678971139403,0.8677850435584104,0.8728399069530131,0.2172457550070047,33652402.0,35137326.0,5127250.0,242727773.0,0.4126528424201472,0.09588033995942441
19,0.411130740639122,2.4471741852423237e-06,497.9679412841797,0.4635657384492722,0.6334744287229279,0.6334744287229279,0.5041118987087807,0.8521482090659296,0.8792319851213956,0.2070235738725383,33046011.0,32506917.0,5733641.0,245358182.0,0.4148248564779806,0.09588033995942441
20,0.3783086632089368,6.155829702431171e-07,496.6064453125,0.4608335769970596,0.6309186492685676,0.6309186492685676,0.49851928777610344,0.8590767653098071,0.8769044619343777,0.21104818503686487,33314698.0,33512602.0,5464954.0,244352497.0,0.41430625583414404,0.09588033995942441
